ObjectID_1,PID,Civic.Number,Street,Full.Civ.Add,Closest.Uni,Dist.Uni,Destination,Dist.CBD
1,18,5810,CHAIN ROCK DR,5810 CHAIN ROCK DR,SMU Center,1233.919459,City Hall,3208.884962
2,26,5820,CHAIN ROCK DR,5820 CHAIN ROCK DR,SMU Center,1257.654811,City Hall,3232.620314
3,34,5830,CHAIN ROCK DR,5830 CHAIN ROCK DR,SMU Center,1279.985047,City Hall,3254.95055
4,42,5840,CHAIN ROCK DR,5840 CHAIN ROCK DR,SMU Center,1301.958508,City Hall,3276.924011
5,59,5850,CHAIN ROCK DR,5850 CHAIN ROCK DR,SMU Center,1326.063689,City Hall,3301.029192
6,67,5860,CHAIN ROCK DR,5860 CHAIN ROCK DR,SMU Center,1343.660971,City Hall,3318.626474
7,75,5870,CHAIN ROCK DR,5870 CHAIN ROCK DR,SMU Center,1360.577057,City Hall,3335.54256
8,83,5880,CHAIN ROCK DR,5880 CHAIN ROCK DR,SMU Center,1390.515458,City Hall,3365.480962
9,91,5890,CHAIN ROCK DR,5890 CHAIN ROCK DR,SMU Center,1410.167027,City Hall,3385.13253
10,109,5900,CHAIN ROCK DR,5900 CHAIN ROCK DR,SMU Center,1430.466931,City Hall,3405.432434
11,117,5904,CHAIN ROCK DR,5904 CHAIN ROCK DR,SMU Center,1442.915718,City Hall,3417.881221
12,125,5910,CHAIN ROCK DR,5910 CHAIN ROCK DR,SMU Center,1446.439733,City Hall,3421.405236
13,133,5914,CHAIN ROCK DR,5914 CHAIN ROCK DR,SMU Center,1454.530164,City Hall,3429.495667
14,158,5961,BALMORAL RD,5961 BALMORAL RD,SMU Center,1458.697242,City Hall,3433.662745
15,166,5901,CHAIN ROCK DR,5901 CHAIN ROCK DR,SMU Center,1432.29573,City Hall,3407.261233
16,174,5881,CHAIN ROCK DR,5881 CHAIN ROCK DR,SMU Center,1401.581398,City Hall,3376.546901
17,182,5871,CHAIN ROCK DR,5871 CHAIN ROCK DR,SMU Center,1410.793619,City Hall,3385.759122
18,190,5851,CHAIN ROCK DR,5851 CHAIN ROCK DR,SMU Center,1323.372579,City Hall,3298.338082
19,208,5841,CHAIN ROCK DR,5841 CHAIN ROCK DR,SMU Center,1303.248911,City Hall,3278.214414
20,216,5831,CHAIN ROCK DR,5831 CHAIN ROCK DR,SMU Center,1283.93041,City Hall,3258.895913
21,224,5821,CHAIN ROCK DR,5821 CHAIN ROCK DR,SMU Center,1264.806576,City Hall,3239.772079
22,232,356,FRANCKLYN ST,356 FRANCKLYN ST,SMU Center,1238.939992,City Hall,3213.905495
23,240,366,FRANCKLYN ST,366 FRANCKLYN ST,SMU Center,1167.409543,City Hall,3142.375046
24,257,376,FRANCKLYN ST,376 FRANCKLYN ST,SMU Center,1143.459947,City Hall,3118.42545
25,265,5810,BALMORAL RD,5810 BALMORAL RD,SMU Center,1131.487927,City Hall,3106.45343
26,273,5820,BALMORAL RD,5820 BALMORAL RD,SMU Center,1155.027438,City Hall,3129.992941
27,281,5830,BALMORAL RD,5830 BALMORAL RD,SMU Center,1172.696688,City Hall,3147.662191
28,299,5840,BALMORAL RD,5840 BALMORAL RD,SMU Center,1192.74473,City Hall,3167.710233
29,307,5850,BALMORAL RD,5850 BALMORAL RD,SMU Center,1251.602801,City Hall,3226.568304
30,315,371,CROWS NEST DR,371 CROWS NEST DR,SMU Center,1277.427812,City Hall,3252.393315
31,323,361,CROWS NEST DR,361 CROWS NEST DR,SMU Center,1293.79805,City Hall,3268.763553
32,331,360,CROWS NEST DR,360 CROWS NEST DR,SMU Center,1292.134037,City Hall,3267.09954
33,349,370,CROWS NEST DR,370 CROWS NEST DR,SMU Center,1268.624963,City Hall,3243.590466
34,356,380,CROWS NEST DR,380 CROWS NEST DR,SMU Center,1252.021607,City Hall,3226.98711
35,364,390,CROWS NEST DR,390 CROWS NEST DR,SMU Center,1276.407425,City Hall,3251.372928
36,372,5880,BALMORAL RD,5880 BALMORAL RD,SMU Center,1326.927093,City Hall,3301.892596
37,380,5920,BALMORAL RD,5920 BALMORAL RD,SMU Center,1379.635933,City Hall,3354.601436
38,398,5930,BALMORAL RD,5930 BALMORAL RD,SMU Center,1402.096129,City Hall,3377.061632
39,406,5940,BALMORAL RD,5940 BALMORAL RD,SMU Center,1425.035184,City Hall,3400.000687
40,414,5955,BALMORAL RD,5955 BALMORAL RD,SMU Center,1448.596617,City Hall,3423.56212
41,422,5945,BALMORAL RD,5945 BALMORAL RD,SMU Center,1426.519828,City Hall,3401.485331
42,430,5935,BALMORAL RD,5935 BALMORAL RD,SMU Center,1403.385111,City Hall,3378.350614
43,448,5925,BALMORAL RD,5925 BALMORAL RD,SMU Center,1377.60007,City Hall,3352.565573
44,455,5915,BALMORAL RD,5915 BALMORAL RD,SMU Center,1363.06883,City Hall,3338.034333
45,463,5865,BALMORAL RD,5865 BALMORAL RD,SMU Center,1249.851861,City Hall,3224.817364
46,471,5845,BALMORAL RD,5845 BALMORAL RD,SMU Center,1209.529617,City Hall,3184.49512
47,489,5835,BALMORAL RD,5835 BALMORAL RD,SMU Center,1190.408622,City Hall,3165.374125
48,497,5825,BALMORAL RD,5825 BALMORAL RD,SMU Center,1168.179256,City Hall,3143.14476
49,505,5815,BALMORAL RD,5815 BALMORAL RD,SMU Center,1145.540848,City Hall,3120.506351
50,513,404,FRANCKLYN ST,404 FRANCKLYN ST,SMU Center,1076.168228,City Hall,3051.133731
51,521,5830,INGLEWOOD DR,5830 INGLEWOOD DR,SMU Center,1100.643196,City Hall,3075.608699
52,539,5840,INGLEWOOD DR,5840 INGLEWOOD DR,SMU Center,1121.772651,City Hall,3096.738154
53,547,5850,INGLEWOOD DR,5850 INGLEWOOD DR,SMU Center,1140.804565,City Hall,3115.770068
54,554,5860,INGLEWOOD DR,5860 INGLEWOOD DR,SMU Center,1191.620049,City Hall,3166.585552
55,562,5869,BALMORAL RD,5869 BALMORAL RD,SMU Center,1213.713054,City Hall,3188.678557
56,570,5880,INGLEWOOD DR,5880 INGLEWOOD DR,SMU Center,1230.46208,City Hall,3205.427583
57,588,5885,BALMORAL RD,5885 BALMORAL RD,SMU Center,1300.740745,City Hall,3275.706248
58,604,5905,BALMORAL RD,5905 BALMORAL RD,SMU Center,1333.43991,City Hall,3308.405413
59,620,5910,INGLEWOOD DR,5910 INGLEWOOD DR,SMU Center,1269.007333,City Hall,3243.972836
60,638,5920,INGLEWOOD DR,5920 INGLEWOOD DR,SMU Center,1292.492298,City Hall,3267.457801
61,646,5940,INGLEWOOD DR,5940 INGLEWOOD DR,SMU Center,1323.223068,City Hall,3298.188571
62,653,5950,INGLEWOOD DR,5950 INGLEWOOD DR,SMU Center,1350.338922,City Hall,3325.304425
63,661,5955,INGLEWOOD DR,5955 INGLEWOOD DR,SMU Center,1372.079709,City Hall,3347.045212
64,679,5945,INGLEWOOD DR,5945 INGLEWOOD DR,SMU Center,1344.846385,City Hall,3319.811888
65,695,5865,INGLEWOOD DR,5865 INGLEWOOD DR,SMU Center,1194.97057,City Hall,3169.936073
66,703,5855,INGLEWOOD DR,5855 INGLEWOOD DR,SMU Center,1171.979929,City Hall,3146.945432
67,711,5845,INGLEWOOD DR,5845 INGLEWOOD DR,SMU Center,1161.987188,City Hall,3136.952691
