ObjectID,PID,Civic.Number,Street,Full.Civic.Address,Closest.University,DestinationRank,Total_Length
1,18,5810,CHAIN ROCK DR,5810 CHAIN ROCK DR, SMU Center,1,1233.919459
2,26,5820,CHAIN ROCK DR,5820 CHAIN ROCK DR, SMU Center,1,1257.654811
3,34,5830,CHAIN ROCK DR,5830 CHAIN ROCK DR, SMU Center,1,1279.985047
4,42,5840,CHAIN ROCK DR,5840 CHAIN ROCK DR, SMU Center,1,1301.958508
5,59,5850,CHAIN ROCK DR,5850 CHAIN ROCK DR, SMU Center,1,1326.063689
6,67,5860,CHAIN ROCK DR,5860 CHAIN ROCK DR, SMU Center,1,1343.660971
7,75,5870,CHAIN ROCK DR,5870 CHAIN ROCK DR, SMU Center,1,1360.577057
8,83,5880,CHAIN ROCK DR,5880 CHAIN ROCK DR, SMU Center,1,1390.515458
9,91,5890,CHAIN ROCK DR,5890 CHAIN ROCK DR, SMU Center,1,1410.167027
10,109,5900,CHAIN ROCK DR,5900 CHAIN ROCK DR, SMU Center,1,1430.466931
11,117,5904,CHAIN ROCK DR,5904 CHAIN ROCK DR, SMU Center,1,1442.915718
12,125,5910,CHAIN ROCK DR,5910 CHAIN ROCK DR, SMU Center,1,1446.439733
13,133,5914,CHAIN ROCK DR,5914 CHAIN ROCK DR, SMU Center,1,1454.530164
14,158,5961,BALMORAL RD,5961 BALMORAL RD, SMU Center,1,1458.697242
15,166,5901,CHAIN ROCK DR,5901 CHAIN ROCK DR, SMU Center,1,1432.29573
16,174,5881,CHAIN ROCK DR,5881 CHAIN ROCK DR, SMU Center,1,1401.581398
17,182,5871,CHAIN ROCK DR,5871 CHAIN ROCK DR, SMU Center,1,1410.793619
18,190,5851,CHAIN ROCK DR,5851 CHAIN ROCK DR, SMU Center,1,1323.372579
19,208,5841,CHAIN ROCK DR,5841 CHAIN ROCK DR, SMU Center,1,1303.248911
20,216,5831,CHAIN ROCK DR,5831 CHAIN ROCK DR, SMU Center,1,1283.93041
21,224,5821,CHAIN ROCK DR,5821 CHAIN ROCK DR, SMU Center,1,1264.806576
22,232,356,FRANCKLYN ST,356 FRANCKLYN ST, SMU Center,1,1238.939992
23,240,366,FRANCKLYN ST,366 FRANCKLYN ST, SMU Center,1,1167.409543
24,257,376,FRANCKLYN ST,376 FRANCKLYN ST, SMU Center,1,1143.459947
25,265,5810,BALMORAL RD,5810 BALMORAL RD, SMU Center,1,1131.487927
26,273,5820,BALMORAL RD,5820 BALMORAL RD, SMU Center,1,1155.027438
27,281,5830,BALMORAL RD,5830 BALMORAL RD, SMU Center,1,1172.696688
28,299,5840,BALMORAL RD,5840 BALMORAL RD, SMU Center,1,1192.74473
29,307,5850,BALMORAL RD,5850 BALMORAL RD, SMU Center,1,1251.602801
30,315,371,CROWS NEST DR,371 CROWS NEST DR, SMU Center,1,1277.427812
31,323,361,CROWS NEST DR,361 CROWS NEST DR, SMU Center,1,1293.79805
32,331,360,CROWS NEST DR,360 CROWS NEST DR, SMU Center,1,1292.134037
33,349,370,CROWS NEST DR,370 CROWS NEST DR, SMU Center,1,1268.624963
34,356,380,CROWS NEST DR,380 CROWS NEST DR, SMU Center,1,1252.021607
35,364,390,CROWS NEST DR,390 CROWS NEST DR, SMU Center,1,1276.407425
36,372,5880,BALMORAL RD,5880 BALMORAL RD, SMU Center,1,1326.927093
37,380,5920,BALMORAL RD,5920 BALMORAL RD, SMU Center,1,1379.635933
38,398,5930,BALMORAL RD,5930 BALMORAL RD, SMU Center,1,1402.096129
39,406,5940,BALMORAL RD,5940 BALMORAL RD, SMU Center,1,1425.035184
40,414,5955,BALMORAL RD,5955 BALMORAL RD, SMU Center,1,1448.596617
41,422,5945,BALMORAL RD,5945 BALMORAL RD, SMU Center,1,1426.519828
42,430,5935,BALMORAL RD,5935 BALMORAL RD, SMU Center,1,1403.385111
43,448,5925,BALMORAL RD,5925 BALMORAL RD, SMU Center,1,1377.60007
44,455,5915,BALMORAL RD,5915 BALMORAL RD, SMU Center,1,1363.06883
45,463,5865,BALMORAL RD,5865 BALMORAL RD, SMU Center,1,1249.851861
46,471,5845,BALMORAL RD,5845 BALMORAL RD, SMU Center,1,1209.529617
47,489,5835,BALMORAL RD,5835 BALMORAL RD, SMU Center,1,1190.408622
48,497,5825,BALMORAL RD,5825 BALMORAL RD, SMU Center,1,1168.179256
49,505,5815,BALMORAL RD,5815 BALMORAL RD, SMU Center,1,1145.540848
50,513,404,FRANCKLYN ST,404 FRANCKLYN ST, SMU Center,1,1076.168228
51,521,5830,INGLEWOOD DR,5830 INGLEWOOD DR, SMU Center,1,1100.643196
52,539,5840,INGLEWOOD DR,5840 INGLEWOOD DR, SMU Center,1,1121.772651
53,547,5850,INGLEWOOD DR,5850 INGLEWOOD DR, SMU Center,1,1140.804565
54,554,5860,INGLEWOOD DR,5860 INGLEWOOD DR, SMU Center,1,1191.620049
55,562,5869,BALMORAL RD,5869 BALMORAL RD, SMU Center,1,1213.713054
56,570,5880,INGLEWOOD DR,5880 INGLEWOOD DR, SMU Center,1,1230.46208
57,588,5885,BALMORAL RD,5885 BALMORAL RD, SMU Center,1,1300.740745
58,604,5905,BALMORAL RD,5905 BALMORAL RD, SMU Center,1,1333.43991
59,620,5910,INGLEWOOD DR,5910 INGLEWOOD DR, SMU Center,1,1269.007333
60,638,5920,INGLEWOOD DR,5920 INGLEWOOD DR, SMU Center,1,1292.492298
61,646,5940,INGLEWOOD DR,5940 INGLEWOOD DR, SMU Center,1,1323.223068
62,653,5950,INGLEWOOD DR,5950 INGLEWOOD DR, SMU Center,1,1350.338922
63,661,5955,INGLEWOOD DR,5955 INGLEWOOD DR, SMU Center,1,1372.079709
64,679,5945,INGLEWOOD DR,5945 INGLEWOOD DR, SMU Center,1,1344.846385
65,695,5865,INGLEWOOD DR,5865 INGLEWOOD DR, SMU Center,1,1194.97057
66,703,5855,INGLEWOOD DR,5855 INGLEWOOD DR, SMU Center,1,1171.979929
67,711,5845,INGLEWOOD DR,5845 INGLEWOOD DR, SMU Center,1,1161.987188
68,760,480,FRANCKLYN ST,480 FRANCKLYN ST, SMU Center,1,904.8130132
69,778,490,FRANCKLYN ST,490 FRANCKLYN ST, SMU Center,1,877.3611767
70,786,5961,INGLEWOOD DR,5961 INGLEWOOD DR, SMU Center,1,1397.081847
71,802,5960,INGLEWOOD DR,5960 INGLEWOOD DR, SMU Center,1,1384.354737
72,810,5900,EMSCOTE DR,5900 EMSCOTE DR, SMU Center,1,914.1393421
73,828,5906,EMSCOTE DR,5906 EMSCOTE DR, SMU Center,1,943.2917555
74,836,5916,EMSCOTE DR,5916 EMSCOTE DR, SMU Center,1,970.9356368
75,844,5928,EMSCOTE DR,5928 EMSCOTE DR, SMU Center,1,1000.167199
76,851,5965,INGLEWOOD DR,5965 INGLEWOOD DR, SMU Center,1,1397.081847
77,869,5936,EMSCOTE DR,5936 EMSCOTE DR, SMU Center,1,1020.990908
78,877,5945,EMSCOTE DR,5945 EMSCOTE DR, SMU Center,1,1034.667776
79,885,5925,EMSCOTE DR,5925 EMSCOTE DR, SMU Center,1,968.2723813
80,893,5915,EMSCOTE DR,5915 EMSCOTE DR, SMU Center,1,915.1307489
81,901,5999,EMSCOTE DR,5999 EMSCOTE DR, SMU Center,1,885.2795921
82,919,5987,EMSCOTE DR,5987 EMSCOTE DR, SMU Center,1,1018.108295
83,927,5956,EMSCOTE DR,5956 EMSCOTE DR, SMU Center,1,1058.821152
84,935,5964,EMSCOTE DR,5964 EMSCOTE DR, SMU Center,1,1098.852722
85,943,5970,EMSCOTE DR,5970 EMSCOTE DR, SMU Center,1,1052.964385
86,950,5986,EMSCOTE DR,5986 EMSCOTE DR, SMU Center,1,1009.146316
87,968,6000,EMSCOTE DR,6000 EMSCOTE DR, SMU Center,1,984.8945249
88,1008,5946,PINE HILL DR,5946 PINE HILL DR, SMU Center,1,710.2736529
89,1016,625,FRANCKLYN ST,625 FRANCKLYN ST, SMU Center,1,856.1729452
90,1024,615,FRANCKLYN ST,615 FRANCKLYN ST, SMU Center,1,876.2114076
91,1032,607,FRANCKLYN ST,607 FRANCKLYN ST, SMU Center,1,897.8367899
92,1040,597,FRANCKLYN ST,597 FRANCKLYN ST, SMU Center,1,920.6565306
93,1057,587,FRANCKLYN ST,587 FRANCKLYN ST, SMU Center,1,942.9320506
94,1065,569,FRANCKLYN ST,569 FRANCKLYN ST, SMU Center,1,986.1895342
95,1073,557,FRANCKLYN ST,557 FRANCKLYN ST, SMU Center,1,987.2645335
96,1081,549,FRANCKLYN ST,549 FRANCKLYN ST, SMU Center,1,967.0001007
97,1099,531,FRANCKLYN ST,531 FRANCKLYN ST, SMU Center,1,967.9294671
98,1107,523,FRANCKLYN ST,523 FRANCKLYN ST, SMU Center,1,900.8148395
99,1115,505,FRANCKLYN ST,505 FRANCKLYN ST, SMU Center,1,869.5415872
100,1123,5859,POINT PLEASANT DR,5859 POINT PLEASANT DR, SMU Center,1,833.0232767
101,1131,5851,POINT PLEASANT DR,5851 POINT PLEASANT DR, SMU Center,1,819.057786
102,1149,5845,POINT PLEASANT DR,5845 POINT PLEASANT DR, SMU Center,1,808.8334891
103,1156,5841,POINT PLEASANT DR,5841 POINT PLEASANT DR, SMU Center,1,796.2528015
104,1164,5831,POINT PLEASANT DR,5831 POINT PLEASANT DR, SMU Center,1,777.3510798
105,1172,5825,POINT PLEASANT DR,5825 POINT PLEASANT DR, SMU Center,1,761.1956804
106,1180,5813,POINT PLEASANT DR,5813 POINT PLEASANT DR, SMU Center,1,736.8598237
107,1180,5815,POINT PLEASANT DR,5815 POINT PLEASANT DR, SMU Center,1,745.7280814
108,1198,5833,MACLEOD DR,5833 MACLEOD DR, SMU Center,1,1060.603404
